"No.","Time","Source","Destination","Protocol","Length","Info"
"160","8.504083","2620:149:a42:200::16","2600:1702:6a30:920:3d2d:22f7:2014:fc79","UDP","94","443  >  49655 Len=32"
"161","8.505763","VantivaConne_48:57:eb","Broadcast","ARP","52","Who has 192.168.1.31? Tell 192.168.1.254"
"162","8.505765","VantivaConne_48:57:eb","Broadcast","ARP","52","Who has 192.168.1.32? Tell 192.168.1.254"
"163","8.506848","VantivaConne_48:57:eb","Broadcast","ARP","52","Who has 192.168.1.33? Tell 192.168.1.254"
"164","8.525803","VantivaConne_48:57:eb","Broadcast","ARP","52","Who has 192.168.1.34? Tell 192.168.1.254"
"165","8.525806","VantivaConne_48:57:eb","Broadcast","ARP","52","Who has 192.168.1.35? Tell 192.168.1.254"
"166","8.525808","VantivaConne_48:57:eb","Broadcast","ARP","52","Who has 192.168.1.36? Tell 192.168.1.254"
"167","8.545826","VantivaConne_48:57:eb","Broadcast","ARP","52","Who has 192.168.1.37? Tell 192.168.1.254"
"168","8.545828","VantivaConne_48:57:eb","Broadcast","ARP","52","Who has 192.168.1.38? Tell 192.168.1.254"
"169","8.545831","VantivaConne_48:57:eb","Broadcast","ARP","52","Who has 192.168.1.39? Tell 192.168.1.254"
"170","8.565799","VantivaConne_48:57:eb","Broadcast","ARP","52","Who has 192.168.1.40? Tell 192.168.1.254"
"171","8.565801","VantivaConne_48:57:eb","Broadcast","ARP","52","Who has 192.168.1.41? Tell 192.168.1.254"
"172","8.567160","VantivaConne_48:57:eb","Broadcast","ARP","52","Who has 192.168.1.42? Tell 192.168.1.254"
"173","8.587888","VantivaConne_48:57:eb","Broadcast","ARP","52","Who has 192.168.1.43? Tell 192.168.1.254"
"174","8.589331","VantivaConne_48:57:eb","Broadcast","ARP","52","Who has 192.168.1.44? Tell 192.168.1.254"
"175","8.589333","VantivaConne_48:57:eb","Broadcast","ARP","52","Who has 192.168.1.45? Tell 192.168.1.254"
"176","8.608833","VantivaConne_48:57:eb","Broadcast","ARP","52","Who has 192.168.1.46? Tell 192.168.1.254"
"177","8.608837","VantivaConne_48:57:eb","Broadcast","ARP","52","Who has 192.168.1.47? Tell 192.168.1.254"
"178","8.608986","VantivaConne_48:57:eb","Broadcast","ARP","52","Who has 192.168.1.48? Tell 192.168.1.254"
"179","8.627991","VantivaConne_48:57:eb","Broadcast","ARP","52","Who has 192.168.1.49? Tell 192.168.1.254"
"180","8.627994","VantivaConne_48:57:eb","Broadcast","ARP","52","Who has 192.168.1.50? Tell 192.168.1.254"
"181","9.210415","2600:1702:6a30:920:3d2d:22f7:2014:fc79","2620:149:a42:200::16","UDP","103","53071  >  443 Len=41"
"182","9.223355","2620:149:a42:200::16","2600:1702:6a30:920:3d2d:22f7:2014:fc79","UDP","94","443  >  53071 Len=32"
"183","9.404579","2600:1702:6a30:920:3d2d:22f7:2014:fc79","2620:149:a42:200::16","UDP","103","64090  >  443 Len=41"
"184","9.413552","2620:149:a42:200::16","2600:1702:6a30:920:3d2d:22f7:2014:fc79","UDP","93","443  >  64090 Len=31"
"185","9.504144","2600:1702:6a30:920:3d2d:22f7:2014:fc79","2620:149:a42:200::16","UDP","103","49655  >  443 Len=41"
"186","9.512499","2620:149:a42:200::16","2600:1702:6a30:920:3d2d:22f7:2014:fc79","UDP","95","443  >  49655 Len=33"
"187","9.512830","2600:1702:6a30:920:3d2d:22f7:2014:fc79","2620:149:a42:200::16","UDP","117","49655  >  443 Len=55"
"188","9.536793","2620:149:a42:200::16","2600:1702:6a30:920:3d2d:22f7:2014:fc79","UDP","94","443  >  49655 Len=32"
"189","9.628985","VantivaConne_48:57:eb","Broadcast","ARP","52","Who has 192.168.1.51? Tell 192.168.1.254"
"190","9.649061","VantivaConne_48:57:eb","Broadcast","ARP","52","Who has 192.168.1.52? Tell 192.168.1.254"
"191","9.649065","VantivaConne_48:57:eb","Broadcast","ARP","52","Who has 192.168.1.53? Tell 192.168.1.254"
"192","9.649070","VantivaConne_48:57:eb","Broadcast","ARP","52","Who has 192.168.1.54? Tell 192.168.1.254"
"193","9.668988","VantivaConne_48:57:eb","Broadcast","ARP","52","Who has 192.168.1.55? Tell 192.168.1.254"
"194","9.668990","VantivaConne_48:57:eb","Broadcast","ARP","52","Who has 192.168.1.56? Tell 192.168.1.254"
"195","9.668992","VantivaConne_48:57:eb","Broadcast","ARP","52","Who has 192.168.1.57? Tell 192.168.1.254"
"196","9.689004","VantivaConne_48:57:eb","Broadcast","ARP","52","Who has 192.168.1.58? Tell 192.168.1.254"
